Bulan ke-,Frekuensi,Probabilitas,Prob. Komulatif,Batas Bawah,Batas Atas,Rentang Prob.
1,10,0.050,0.050,0,0.050,0 <= x < 0.050
2,20,0.100,0.150,0.050,0.150,0.050 < x <= 0.150
3,40,0.200,0.350,0.150,0.350,0.150 < x <= 0.350
4,60,0.300,0.650,0.350,0.650,0.350 < x <= 0.650
5,40,0.200,0.850,0.650,0.850,0.650 < x <= 0.850
6,30,0.150,1,0.850,1,0.850 < x <= 1

Taksiran ke-,Nilai Acak,Rentang Nilai,Hasil
1,0.233155,0.150 < x <= 0.350,40
2,0.561363,0.350 < x <= 0.650,60
3,0.388472,0.350 < x <= 0.650,60
4,0.038575,0 <= x < 0.050,10
5,0.299804,0.150 < x <= 0.350,40
6,0.985937,0.850 < x <= 1,30
7,0.616954,0.350 < x <= 0.650,60
8,0.173001,0.150 < x <= 0.350,40
9,0.263668,0.150 < x <= 0.350,40
10,0.31301,0.150 < x <= 0.350,40
11,0.260821,0.150 < x <= 0.350,40
12,0.824832,0.650 < x <= 0.850,40
